species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species_Adelie,species_Chinstrap,species_Gentoo,island_Biscoe,island_Dream,island_Torgersen,Gender_ecoding,bill_ratio,Flipper-to-Mass Ratio,size_class
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,1,0,0,1,0,0,0,2.2372881355932206,0.053142857142857144,small
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,1,0,0,1,0,0,1,2.121693121693122,0.04372093023255814,medium
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1,0,0,1,0,0,0,1.9553072625698324,0.05507246376811594,small
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,1,0,0,1,0,0,1,2.1538461538461537,0.04938271604938271,medium
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,1,0,0,1,0,0,0,1.9060773480662982,0.06448275862068965,small
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,1,0,0,1,0,0,1,2.225806451612903,0.05162162162162162,medium
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,1,0,0,1,0,0,0,2.2285714285714286,0.0523943661971831,medium
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,1,0,0,1,0,0,1,2.1595744680851063,0.05078947368421052,medium
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1,0,0,1,0,0,0,2.1987951807228914,0.06350877192982456,small
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,1,0,0,1,0,0,1,1.9685863874345548,0.05173333333333333,medium
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,1,0,0,1,0,0,0,2.112426035502959,0.05873015873015873,small
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,1,0,0,1,0,0,1,1.9573459715639807,0.04431818181818182,medium
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,1,0,0,1,0,0,0,2.211764705882353,0.05138888888888889,medium
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,1,0,0,1,0,0,1,2.258241758241758,0.047407407407407405,medium
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,1,0,0,1,0,0,0,2.1286549707602336,0.06456140350877193,small
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,1,0,0,1,0,0,1,2.3111111111111113,0.04860759493670886,medium
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,1,0,0,1,0,0,0,2.191358024691358,0.058208955223880594,small
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,1,0,0,1,0,0,1,2.1518324607329844,0.045853658536585365,medium
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,1,0,0,0,0,1,0,2.1626506024096384,0.06229508196721312,small
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1,0,0,0,0,1,1,2.154639175257732,0.04449438202247191,medium
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1,0,0,0,0,1,0,1.763157894736842,0.05277777777777778,medium
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,1,0,0,0,0,1,1,2.1576086956521743,0.04871794871794872,medium
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,1,0,0,0,0,1,0,2.302325581395349,0.0552112676056338,medium
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,1,0,0,0,0,1,1,2.4232804232804233,0.047469879518072286,medium
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,1,0,0,0,0,1,0,2.0285714285714285,0.051351351351351354,medium
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,1,0,0,0,0,1,1,2.3135135135135134,0.04588235294117647,medium
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,1,0,0,0,0,1,0,2.4345238095238093,0.05162162162162162,medium
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,1,0,0,0,0,1,1,1.9175257731958766,0.04717948717948718,medium
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,1,0,0,0,0,1,0,2.248447204968944,0.05267605633802817,medium
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,1,0,0,0,0,1,1,2.2041884816753927,0.04875,medium
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,1,0,0,0,0,1,0,2.011627906976744,0.0590625,small
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1,0,0,0,0,1,1,2.4374999999999996,0.04170212765957447,medium
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1,0,0,0,0,1,0,1.952127659574468,0.049210526315789475,medium
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1,0,0,0,0,1,1,1.8092783505154642,0.04595238095238095,medium
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,1,0,0,0,1,0,0,2.095505617977528,0.05701492537313433,small
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,1,0,0,0,1,0,1,2.0344827586206895,0.05464788732394366,medium
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1,0,0,0,1,0,1,1.8615384615384614,0.05,medium
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,1,0,0,0,1,0,0,1.9838709677419353,0.054,small
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,1,0,0,0,1,0,1,1.9947916666666665,0.047848101265822784,medium
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,1,0,0,0,1,0,0,2.0691489361702127,0.05277777777777778,medium
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1,0,0,0,1,0,0,1.9833333333333334,0.056901408450704224,medium
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,1,0,0,0,1,0,1,2.270718232044199,0.047674418604651166,medium
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,1,0,0,0,1,0,0,1.9883040935672514,0.054411764705882354,small
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,1,0,0,0,1,0,1,2.187845303867403,0.041797752808988765,medium
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,1,0,0,0,1,0,0,2.092485549132948,0.056666666666666664,small
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,1,0,0,0,1,0,1,2.1587301587301586,0.04837209302325581,medium
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,1,0,0,0,1,0,0,2.0483870967741935,0.051351351351351354,medium
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,1,0,0,0,1,0,1,2.1783783783783783,0.045057471264367814,medium
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,1,0,0,0,1,0,0,2.0559006211180124,0.06137931034482759,small
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,1,0,0,0,1,0,1,2.3351351351351353,0.04682926829268293,medium
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,1,0,0,1,0,0,0,1.9553072625698324,0.051543624161073824,medium
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,1,0,0,1,0,0,1,2.05,0.04296296296296296,medium
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,1,0,0,1,0,0,0,2.35625,0.05951219512195122,small
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,1,0,0,1,0,0,1,1.89,0.04470588235294118,medium
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,1,0,0,1,0,0,0,2.0376344086021505,0.06598290598290599,small
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,1,0,0,1,0,0,1,2.100529100529101,0.051830985915492955,medium
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,1,0,0,1,0,0,0,2.244186046511628,0.053066666666666665,medium
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,1,0,0,1,0,0,1,1.9100000000000001,0.04871794871794872,medium
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,1,0,0,1,0,0,0,2.2411764705882353,0.057007874015748035,small
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,1,0,0,1,0,0,1,2.2736842105263158,0.0412565445026178,large
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,1,0,0,1,0,0,0,2.309090909090909,0.05176470588235294,medium
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,1,0,0,1,0,0,1,2.2463054187192117,0.04152173913043478,medium
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,1,0,0,1,0,0,0,2.2429378531073447,0.0603125,small
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,1,0,0,1,0,0,1,2.1641025641025644,0.04608187134502924,medium
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1,0,0,1,0,0,0,1.9130434782608696,0.04897435897435897,medium
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,1,0,0,1,0,0,1,2.3333333333333335,0.04809815950920245,medium
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1,0,0,0,0,1,0,2.2705882352941176,0.06482758620689655,small
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1,0,0,0,0,1,1,1.819512195121951,0.05271523178807947,medium
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,1,0,0,0,0,1,0,2.1,0.05641791044776119,small
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,1,0,0,0,0,1,1,2.2096774193548385,0.056842105263157895,small
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,1,0,0,0,0,1,0,2.104651162790698,0.059365079365079364,small
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,1,0,0,0,0,1,1,1.9040404040404042,0.05657142857142857,small
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1,0,0,0,0,1,0,2.364705882352941,0.051014492753623186,small
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,1,0,0,0,0,1,1,2.2378378378378376,0.05212903225806451,medium
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,1,0,0,0,0,1,0,2.2138364779874213,0.06098360655737705,small
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,1,0,0,0,0,1,1,2.136842105263158,0.04975,medium
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,1,0,0,0,0,1,0,2.204545454545454,0.0583206106870229,small
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,1,0,0,0,0,1,1,2.26775956284153,0.04534883720930233,medium
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1,0,0,0,0,1,0,2.280701754385965,0.06262295081967213,small
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,1,0,0,0,0,1,1,2.45,0.0525,medium
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,1,0,0,0,0,1,0,2.1508379888268156,0.05714285714285714,small
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,1,0,0,0,0,1,1,2.244791666666667,0.056285714285714286,small
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1,0,0,0,1,0,0,1.989189189189189,0.055142857142857146,small
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,1,0,0,0,1,0,1,2.027027027027027,0.04446927374301676,medium
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1,0,0,0,1,0,0,2.164772727272727,0.0545985401459854,small
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,1,0,0,0,1,0,1,2.3485714285714288,0.04871794871794872,medium
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,1,0,0,0,1,0,0,2.0342857142857143,0.06015748031496063,small
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,1,0,0,0,1,0,1,2.0,0.050314465408805034,medium
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,1,0,0,0,1,0,0,2.242424242424242,0.054411764705882354,small
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1,0,0,0,1,0,1,2.217877094972067,0.04541176470588235,medium
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,1,0,0,0,1,0,0,2.350877192982456,0.05676470588235294,small
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,1,0,0,0,1,0,1,2.36046511627907,0.05381294964028777,small
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,1,0,0,0,1,0,0,2.070967741935484,0.06163934426229508,small
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,1,0,0,0,1,0,1,2.394117647058824,0.05100671140939597,medium
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,1,0,0,0,1,0,0,2.220238095238095,0.064,small
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,1,0,0,0,1,0,1,2.085561497326203,0.050684931506849315,medium
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,1,0,0,0,1,0,1,2.10752688172043,0.04470588235294118,medium
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,1,0,0,0,1,0,0,1.9891304347826089,0.052949640287769786,small
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,1,0,0,0,1,0,0,2.0224719101123596,0.05652173913043478,small
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,1,0,0,0,1,0,1,2.0883977900552484,0.05146666666666667,medium
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,1,0,0,0,1,0,0,2.1052631578947367,0.05054054054054054,medium
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,1,0,0,0,1,0,1,2.2432432432432434,0.05025,medium
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,0,1,0,0,1,0,0,2.597765363128492,0.054857142857142854,small
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,0,1,0,0,1,0,1,2.5641025641025643,0.050256410256410255,medium
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,0,1,0,0,1,0,1,2.671875,0.052876712328767124,medium
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,0,1,0,0,1,0,0,2.427807486631016,0.05333333333333334,small
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,0,1,0,0,1,0,1,2.6616161616161618,0.05288590604026846,medium
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,0,1,0,0,1,0,0,2.539325842696629,0.05012658227848101,medium
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,0,1,0,0,1,0,0,2.5329670329670333,0.05476923076923077,small
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,0,1,0,0,1,0,1,2.8186813186813184,0.052533333333333335,medium
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,0,1,0,0,1,0,0,2.433862433862434,0.046987951807228916,medium
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,0,1,0,0,1,0,1,2.577889447236181,0.053513513513513515,medium
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,0,1,0,0,1,0,0,2.6179775280898876,0.05078947368421052,medium
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,0,1,0,0,1,0,1,2.5467980295566504,0.05139072847682119,medium
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,0,1,0,0,1,0,0,2.7167630057803467,0.05,medium
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,0,1,0,0,1,0,1,2.87292817679558,0.04962962962962963,medium
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,0,1,0,0,1,0,0,2.6842105263157894,0.05314685314685315,medium
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,0,1,0,0,1,0,1,2.576530612244898,0.04962962962962963,medium
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,0,1,0,0,1,0,1,2.5149999999999997,0.0596969696969697,small
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,0,1,0,0,1,0,0,3.258426966292135,0.04891891891891892,medium
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,0,1,0,0,1,0,0,2.494623655913978,0.05507246376811594,small
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,0,1,0,0,1,0,1,2.7032967032967035,0.04431818181818182,medium
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,0,1,0,0,1,0,0,2.450867052023121,0.050277777777777775,medium
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,0,1,0,0,1,0,1,2.7714285714285714,0.05617647058823529,small
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,0,1,0,0,1,0,0,2.602409638554217,0.06448275862068965,small
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,0,1,0,0,1,0,1,2.6082474226804124,0.05078947368421052,medium
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,0,1,0,0,1,0,0,2.608938547486034,0.05909090909090909,small
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,0,1,0,0,1,0,1,2.736842105263158,0.047469879518072286,medium
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,0,1,0,0,1,0,0,2.7445652173913047,0.058823529411764705,small
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,0,1,0,0,1,0,1,2.6052631578947367,0.05263157894736842,medium
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,0,1,0,0,1,0,0,2.6067415730337076,0.05162162162162162,medium
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,0,1,0,0,1,0,1,2.6399999999999997,0.045054945054945054,medium
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,0,1,0,0,1,0,0,2.4638554216867465,0.0584375,small
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,0,1,0,0,1,0,1,2.605769230769231,0.04674418604651163,medium
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,0,1,0,0,1,0,0,2.5449101796407185,0.05582089552238806,small
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,0,1,0,0,1,0,1,2.7127659574468086,0.04951219512195122,medium
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,0,1,0,0,1,0,1,2.672043010752688,0.05416666666666667,medium
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,0,1,0,0,1,0,0,2.827380952380952,0.05102564102564103,medium
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,0,1,0,0,1,0,0,2.601092896174863,0.05064935064935065,medium
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,0,1,0,0,1,0,1,2.5120772946859904,0.04375,large
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,0,1,0,0,1,0,0,2.8253012048192767,0.07111111111111111,small
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,0,1,0,0,1,0,1,2.6884422110552766,0.04555555555555556,medium
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,0,1,0,0,1,0,1,2.5128205128205128,0.053164556962025315,medium
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,0,1,0,0,1,0,0,2.64,0.05123287671232877,medium
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,0,1,0,0,1,0,1,2.664921465968586,0.0552112676056338,medium
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,0,1,0,0,1,0,0,2.676470588235294,0.056,small
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,0,1,0,0,1,0,0,2.8435754189944134,0.05333333333333334,medium
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,0,1,0,0,1,0,1,2.745945945945946,0.045168539325842694,medium
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,0,1,0,0,1,0,0,2.7988826815642462,0.05588235294117647,small
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,0,1,0,0,1,0,1,2.5,0.04930232558139535,medium
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,0,1,0,0,1,0,1,2.7540106951871657,0.05753846153846154,small
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,0,1,0,0,1,0,0,2.8786127167630053,0.053877551020408164,medium
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,0,1,0,0,1,0,0,2.932926829268293,0.059849624060150375,small
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,0,1,0,0,1,0,1,2.705263157894737,0.05088607594936709,medium
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,0,1,0,0,1,0,0,2.6416184971098264,0.05361111111111111,medium
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,0,1,0,0,1,0,1,2.5736040609137056,0.050123456790123457,medium
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,0,1,0,0,1,0,0,2.4566473988439306,0.05582089552238806,small
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,0,1,0,0,1,0,1,2.776595744680851,0.05710144927536232,small
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,0,1,0,0,1,0,0,2.7228915662650603,0.05876923076923077,small
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,0,1,0,0,1,0,1,2.477386934673367,0.050123456790123457,medium
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,0,1,0,0,1,0,1,2.670212765957447,0.053157894736842105,medium
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,0,1,0,0,1,0,0,2.350515463917526,0.0550354609929078,small
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,0,1,0,0,1,0,1,2.6615384615384614,0.052151898734177214,medium
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,0,1,0,0,1,0,0,2.836363636363636,0.051780821917808216,medium
